# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 36845
2 0
0.2185 0.001 12.0959
0.2195 0.001 11.5926
0.2205 0.001 9.21597
0.2215 0.001 14.421
0.2225 0.001 11.9596
0.2235 0.001 12.8006
0.2245 0.001 11.6806
0.2255 0.001 11.3642
0.2265 0.001 12.645
0.2275 0.001 9.75204
0.2285 0.001 11.4693
0.2295 0.001 10.0067
0.2305 0.001 11.3299
0.2315 0.001 9.26871
0.2325 0.001 11.5367
0.2335 0.001 9.69448
0.2345 0.001 11.6005
0.2355 0.001 10.5479
0.2365 0.001 10.6177
0.2375 0.001 10.6613
0.2385 0.001 11.6073
0.2395 0.001 11.9402
0.2405 0.001 9.84237
0.2415 0.001 10.0648
0.2425 0.001 10.7648
0.2435 0.001 13.8426
0.2445 0.001 8.75597
0.2455 0.001 9.76892
0.2465 0.001 11.4407
0.2475 0.001 9.86502
0.2485 0.001 13.0756
0.2495 0.001 11.3526
0.2505 0.001 10.3545
0.2515 0.001 7.84058
0.2525 0.001 8.79009
0.2535 0.001 10.6862
0.2545 0.001 10.3017
0.2555 0.001 9.12778
0.2565 0.001 9.38322
0.2575 0.001 11.2854
0.2585 0.001 9.81174
0.2595 0.001 10.9518
0.2605 0.001 9.0679
0.2615 0.001 10.7047
0.2625 0.001 10.1069
0.2635 0.001 10.4081
0.2645 0.001 8.78952
0.2655 0.001 12.6986
0.2665 0.001 11.8566
0.2675 0.001 7.58678
0.2685 0.001 9.9349
0.2695 0.001 9.25683
0.2705 0.001 9.18101
0.2715 0.001 9.8926
0.2725 0.001 9.84824
0.2735 0.001 10.5627
0.2745 0.001 8.3657
0.2755 0.001 6.41014
0.2765 0.001 12.8694
0.2775 0.001 9.98412
0.2785 0.001 8.58972
0.2795 0.001 7.40536
0.2805 0.001 8.421
0.2815 0.001 8.3917
0.2825 0.001 11.1379
0.2835 0.001 10.6249
0.2845 0.001 8.01146
0.2855 0.001 9.70722
0.2865 0.001 10.4969
0.2875 0.001 10.633
0.2885 0.001 12.9339
0.2895 0.001 11.7083
0.2905 0.001 8.3568
0.2915 0.001 9.55954
0.2925 0.001 10.6448
0.2935 0.001 7.55387
0.2945 0.001 11.0982
0.2955 0.001 10.2999
0.2965 0.001 6.21942
0.2975 0.001 9.36327
0.2985 0.001 6.30209
0.2995 0.001 9.16405
0.3005 0.001 11.1952
0.3015 0.001 6.30136
0.3025 0.001 6.21311
0.3035 0.001 9.3824
0.3045 0.001 10.1487
0.3055 0.001 8.139
0.3065 0.001 8.15474
0.3075 0.001 9.02758
0.3085 0.001 8.41485
0.3095 0.001 7.56088
0.3105 0.001 9.55105
0.3115 0.001 9.96505
0.3125 0.001 10.903
0.3135 0.001 8.44804
0.3145 0.001 9.78074
0.3155 0.001 9.54208
0.3165 0.001 7.40174
0.3175 0.001 8.88199
0.3185 0.001 6.70557
0.3195 0.001 9.15847
0.3205 0.001 11.1138
0.3215 0.001 8.61588
0.3225 0.001 10.9806
0.3235 0.001 6.04758
0.3245 0.001 8.35128
0.3255 0.001 8.6186
0.3265 0.001 6.21883
0.3275 0.001 8.17072
0.3285 0.001 8.9579
0.3295 0.001 8.04157
0.3305 0.001 6.58134
0.3315 0.001 6.28918
0.3325 0.001 7.83461
0.3335 0.001 8.34454
0.3345 0.001 8.0498
0.3355 0.001 6.21957
0.3365 0.001 7.4252
0.3375 0.001 7.44618
0.3385 0.001 6.91265
0.3395 0.001 10.4418
0.3405 0.001 8.72814
0.3415 0.001 7.65308
0.3425 0.001 7.19813
0.3435 0.001 6.57582
0.3445 0.001 6.58915
0.3455 0.001 6.62055
0.3465 0.001 8.34516
0.3475 0.001 6.36217
0.3485 0.001 6.32202
0.3495 0.001 6.23247
0.3505 0.001 7.60507
0.3515 0.001 9.18012
0.3525 0.001 10.1752
0.3535 0.001 8.16835
0.3545 0.001 7.75828
0.3555 0.001 8.09034
0.3565 0.001 9.81698
0.3575 0.001 7.78246
0.3585 0.001 9.77526
0.3595 0.001 6.92215
0.3605 0.001 8.14234
0.3615 0.001 8.41331
0.3625 0.001 8.69195
0.3635 0.001 10.3772
0.3645 0.001 9.47242
0.3655 0.001 5.71505
0.3665 0.001 5.97901
0.3675 0.001 6.48946
0.3685 0.001 7.35789
0.3695 0.001 8.3237
0.3705 0.001 9.93853
0.3715 0.001 6.33108
0.3725 0.001 8.53695
0.3735 0.001 9.43769
0.3745 0.001 8.78042
0.3755 0.001 6.45244
0.3765 0.001 6.85413
0.3775 0.001 8.8248
0.3785 0.001 8.94645
0.3795 0.001 7.13976
0.3805 0.001 6.83255
0.3815 0.001 6.94753
0.3825 0.001 7.74954
0.3835 0.001 9.12874
0.3845 0.001 6.89401
0.3855 0.001 8.7588
0.3865 0.001 8.75702
0.3875 0.001 7.66685
0.3885 0.001 7.1562
0.3895 0.001 8.85241
0.3905 0.001 8.26819
0.3915 0.001 9.53275
0.3925 0.001 6.8284
0.3935 0.001 8.46432
0.3945 0.001 8.57425
0.3955 0.001 8.15834
0.3965 0.001 8.71915
0.3975 0.001 8.01319
0.3985 0.001 7.19559
0.3995 0.001 9.32249
0.4005 0.001 9.48353
0.4015 0.001 7.44716
0.4025 0.001 8.49143
0.4035 0.001 8.39946
0.4045 0.001 7.71993
0.4055 0.001 8.93577
0.4065 0.001 6.56748
0.4075 0.001 8.86501
0.4085 0.001 6.19361
0.4095 0.001 8.20722
0.4105 0.001 8.19563
0.4115 0.001 7.64113
0.4125 0.001 10.8234
0.4135 0.001 8.83855
0.4145 0.001 7.46862
0.4155 0.001 7.91571
0.4165 0.001 7.13828
0.4175 0.001 8.60983
0.4185 0.001 7.77092
0.4195 0.001 6.62591
0.4205 0.001 8.74859
0.4215 0.001 9.63587
0.4225 0.001 7.68292
0.4235 0.001 7.20324
0.4245 0.001 7.62367
0.4255 0.001 9.32991
0.4265 0.001 4.63428
0.4275 0.001 9.64491
0.4285 0.001 8.01499
0.4295 0.001 5.78929
0.4305 0.001 6.06
0.4315 0.001 7.74092
0.4325 0.001 9.44204
0.4335 0.001 6.80299
0.4345 0.001 7.53886
0.4355 0.001 7.90454
0.4365 0.001 6.49691
0.4375 0.001 9.53808
0.4385 0.001 8.29366
0.4395 0.001 7.03451
0.4405 0.001 9.02398
0.4415 0.001 7.61334
0.4425 0.001 5.74349
0.4435 0.001 8.21858
0.4445 0.001 9.10086
0.4455 0.001 7.98878
0.4465 0.001 9.77022
0.4475 0.001 9.50042
0.4485 0.001 9.3174
0.4495 0.001 7.6076
0.4505 0.001 7.96105
0.4515 0.001 8.66423
0.4525 0.001 9.12622
0.4535 0.001 8.0723
0.4545 0.001 9.84428
0.4555 0.001 4.20555
0.4565 0.001 5.50223
0.4575 0.001 7.78709
0.4585 0.001 4.78265
0.4595 0.001 6.55472
0.4605 0.001 8.41187
0.4615 0.001 7.87971
0.4625 0.001 8.84614
0.4635 0.001 4.90039
0.4645 0.001 7.08477
0.4655 0.001 5.0081
0.4665 0.001 6.93315
0.4675 0.001 8.53739
0.4685 0.001 9.2595
0.4695 0.001 9.26964
0.4705 0.001 8.67825
0.4715 0.001 9.61803
0.4725 0.001 10.2524
0.4735 0.001 9.85228
0.4745 0.001 9.67791
0.4755 0.001 6.02948
0.4765 0.001 6.73186
0.4775 0.001 7.59765
0.4785 0.001 6.50557
0.4795 0.001 8.29464
0.4805 0.001 6.85907
0.4815 0.001 4.92771
0.4825 0.001 6.52653
0.4835 0.001 6.8188
0.4845 0.001 7.63676
0.4855 0.001 6.86185
0.4865 0.001 10.6518
0.4875 0.001 10.4724
0.4885 0.001 7.30648
0.4895 0.001 7.60107
0.4905 0.001 6.81753
0.4915 0.001 5.11122
0.4925 0.001 8.20441
0.4935 0.001 10.1129
0.4945 0.001 6.93096
0.4955 0.001 10.9611
0.4965 0.001 8.58355
0.4975 0.001 8.54928
0.4985 0.001 5.98252
0.4995 0.001 4.50543
0.5005 0.001 9.0944
0.5015 0.001 7.35312
0.5025 0.001 10.1908
0.5035 0.001 7.46189
0.5045 0.001 7.40612
0.5055 0.001 13.3879
0.5065 0.001 10.1877
0.5075 0.001 9.41319
0.5085 0.001 6.64381
0.5095 0.001 6.94553
0.5105 0.001 112.609
0.5115 0.001 3635.91
0.5125 0.001 0
0.5135 0.001 0
0.5145 0.001 0
0.5155 0.001 0
0.5165 0.001 0
0.5175 0.001 0
0.5185 0.001 0
0.5195 0.001 0
0.5205 0.001 0
0.5215 0.001 0
0.5225 0.001 0
0.5235 0.001 0
0.5245 0.001 0
0.5255 0.001 0
0.5265 0.001 0
0.5275 0.001 0
0.5285 0.001 0
0.5295 0.001 0
0.5305 0.001 0
0.5315 0.001 0
0.5325 0.001 0
0.5335 0.001 0
0.5345 0.001 0
0.5355 0.001 0
0.5365 0.001 0
0.5375 0.001 0
0.5385 0.001 0
0.5395 0.001 0
0.5405 0.001 0
0.5415 0.001 0
0.5425 0.001 0
0.5435 0.001 0
0.5445 0.001 0
0.5455 0.001 0
0.5465 0.001 0
0.5475 0.001 0
0.5485 0.001 0
0.5495 0.001 0
0.5505 0.001 0
0.5515 0.001 0
0.5525 0.001 0
0.5535 0.001 0
0.5545 0.001 0
0.5555 0.001 0
0.5565 0.001 0
0.5575 0.001 0
0.5585 0.001 0
0.5595 0.001 0
0.5605 0.001 0
0.5615 0.001 0
0.5625 0.001 0
0.5635 0.001 0
0.5645 0.001 0
0.5655 0.001 0
0.5665 0.001 0
0.5675 0.001 0
0.5685 0.001 0
0.5695 0.001 0
0.5705 0.001 0
0.5715 0.001 0
0.5725 0.001 0
0.5735 0.001 0
0.5745 0.001 0
0.5755 0.001 0
0.5765 0.001 0
0.5775 0.001 0
0.5785 0.001 0
0.5795 0.001 0
0.5805 0.001 0
0.5815 0.001 0
0.5825 0.001 0
0.5835 0.001 0
0.5845 0.001 0
0.5855 0.001 0
0.5865 0.001 0
0.5875 0.001 0
0.5885 0.001 0
0.5895 0.001 0
0.5905 0.001 0
0.5915 0.001 0
0.5925 0.001 0
0.5935 0.001 0
0.5945 0.001 0
0.5955 0.001 0
0.5965 0.001 0
0.5975 0.001 0
0.5985 0.001 0
0.5995 0.001 0
0.6005 0.001 0
0.6015 0.001 0
0.6025 0.001 0
0.6035 0.001 0
0.6045 0.001 0
0.6055 0.001 0
0.6065 0.001 0
0.6075 0.001 0
0.6085 0.001 0
0.6095 0.001 0
0.6105 0.001 0
0.6115 0.001 0
0.6125 0.001 0
0.6135 0.001 0
0.6145 0.001 0
0.6155 0.001 0
0.6165 0.001 0
0.6175 0.001 0
0.6185 0.001 0
0.6195 0.001 0
0.6205 0.001 0
0.6215 0.001 0
0.6225 0.001 0
0.6235 0.001 0
0.6245 0.001 0
0.6255 0.001 0
0.6265 0.001 0
0.6275 0.001 0
0.6285 0.001 0
0.6295 0.001 0
0.6305 0.001 0
0.6315 0.001 0
0.6325 0.001 0
0.6335 0.001 0
0.6345 0.001 0
0.6355 0.001 0
0.6365 0.001 0
0.6375 0.001 0
0.6385 0.001 0
0.6395 0.001 0
0.6405 0.001 0
0.6415 0.001 0
0.6425 0.001 0
0.6435 0.001 0
0.6445 0.001 0
0.6455 0.001 0
0.6465 0.001 0
0.6475 0.001 0
0.6485 0.001 0
0.6495 0.001 0
0.6505 0.001 0
0.6515 0.001 0
0.6525 0.001 0
0.6535 0.001 0
0.6545 0.001 0
0.6555 0.001 0
0.6565 0.001 0
0.6575 0.001 0
0.6585 0.001 0
0.6595 0.001 0
0.6605 0.001 0
0.6615 0.001 0
0.6625 0.001 0
0.6635 0.001 0
0.6645 0.001 0
0.6655 0.001 0
0.6665 0.001 0
0.6675 0.001 0
0.6685 0.001 0
0.6695 0.001 0
0.6705 0.001 0
0.6715 0.001 0
0.6725 0.001 0
0.6735 0.001 0
0.6745 0.001 0
0.6755 0.001 0
0.6765 0.001 0
0.6775 0.001 0
0.6785 0.001 0
0.6795 0.001 0
0.6805 0.001 0
0.6815 0.001 0
0.6825 0.001 0
0.6835 0.001 0
0.6845 0.001 0
0.6855 0.001 0
0.6865 0.001 0
0.6875 0.001 0
0.6885 0.001 0
0.6895 0.001 0
